experiment,model,seed,standard,LS(0.01),LS(0.05),LS(0.1),LS(0.2),EarlyStop
F,MLP(8),42,0.65125,0.68375,0.6875,0.67125,0.650625,0.615625
F,MLP(16),42,0.729375,0.725625,0.719375,0.706875,0.71875,0.709375
F,MLP(32),42,0.74625,0.74,0.745,0.73625,0.724375,0.724375
F,MLP(16x2),42,0.733125,0.7375,0.739375,0.7375,0.728125,0.71875
F,MLP(32x2),42,0.774375,0.76875,0.760625,0.765625,0.775,0.753125
F,MLP(8),43,0.6475,0.67375,0.656875,0.6825,0.665625,0.63
F,MLP(16),43,0.73,0.72375,0.71,0.72,0.70125,0.705625
F,MLP(32),43,0.7475,0.739375,0.735625,0.72875,0.719375,0.7225
F,MLP(16x2),43,0.740625,0.7625,0.718125,0.735,0.746875,0.72375
F,MLP(32x2),43,0.791875,0.7475,0.78375,0.7775,0.78,0.743125
F,MLP(8),44,0.675,0.654375,0.64875,0.6775,0.669375,0.636875
F,MLP(16),44,0.7475,0.71375,0.718125,0.72125,0.73125,0.708125
F,MLP(32),44,0.74125,0.730625,0.7375,0.73625,0.744375,0.728125
F,MLP(16x2),44,0.756875,0.735,0.71875,0.72,0.7525,0.7325
F,MLP(32x2),44,0.78375,0.780625,0.75125,0.774375,0.770625,0.75125
F,MLP(8),45,0.658125,0.665625,0.64,0.6375,0.645,0.634375
F,MLP(16),45,0.6825,0.6875,0.688125,0.718125,0.70125,0.665
F,MLP(32),45,0.7125,0.735,0.7225,0.731875,0.73875,0.695625
F,MLP(16x2),45,0.70875,0.755625,0.720625,0.7075,0.72125,0.716875
F,MLP(32x2),45,0.76375,0.7825,0.773125,0.76,0.765,0.7475
F,MLP(8),46,0.6475,0.68,0.670625,0.648125,0.690625,0.67
F,MLP(16),46,0.71625,0.7175,0.73375,0.7125,0.7175,0.69125
F,MLP(32),46,0.729375,0.741875,0.74375,0.735,0.73625,0.72375
F,MLP(16x2),46,0.7375,0.724375,0.7775,0.736875,0.73875,0.74125
F,MLP(32x2),46,0.76625,0.785625,0.761875,0.77625,0.776875,0.733125
F,MLP(8),47,0.66625,0.645,0.658125,0.664375,0.65125,0.620625
F,MLP(16),47,0.723125,0.7225,0.706875,0.715,0.72375,0.688125
F,MLP(32),47,0.744375,0.733125,0.743125,0.745625,0.724375,0.7275
F,MLP(16x2),47,0.75375,0.768125,0.73375,0.77125,0.749375,0.716875
F,MLP(32x2),47,0.78625,0.780625,0.76625,0.77125,0.78125,0.75125
F,MLP(8),48,0.6525,0.67625,0.634375,0.641875,0.658125,0.62
F,MLP(16),48,0.700625,0.705,0.72125,0.704375,0.6975,0.681875
F,MLP(32),48,0.7275,0.70875,0.7225,0.729375,0.721875,0.706875
F,MLP(16x2),48,0.733125,0.729375,0.7125,0.73625,0.72375,0.690625
F,MLP(32x2),48,0.7575,0.74375,0.758125,0.75,0.765,0.715
F,MLP(8),49,0.66875,0.63,0.665,0.6775,0.686875,0.60625
F,MLP(16),49,0.731875,0.71125,0.7125,0.726875,0.724375,0.704375
F,MLP(32),49,0.739375,0.74125,0.744375,0.743125,0.73875,0.716875
F,MLP(16x2),49,0.749375,0.765625,0.75875,0.721875,0.730625,0.72625
F,MLP(32x2),49,0.773125,0.771875,0.778125,0.774375,0.77375,0.75875
F,MLP(8),50,0.63875,0.598125,0.643125,0.67125,0.6325,0.593125
F,MLP(16),50,0.706875,0.728125,0.709375,0.716875,0.714375,0.685625
F,MLP(32),50,0.738125,0.74,0.734375,0.739375,0.72625,0.71875
F,MLP(16x2),50,0.72,0.735625,0.73875,0.74125,0.731875,0.71375
F,MLP(32x2),50,0.75875,0.745625,0.74625,0.76375,0.763125,0.75125
F,MLP(8),51,0.65875,0.693125,0.653125,0.654375,0.659375,0.665625
F,MLP(16),51,0.725,0.723125,0.709375,0.718125,0.71625,0.69875
F,MLP(32),51,0.73,0.714375,0.729375,0.736875,0.734375,0.73
F,MLP(16x2),51,0.751875,0.74,0.754375,0.72625,0.74125,0.713125
F,MLP(32x2),51,0.768125,0.76625,0.76375,0.775,0.754375,0.745
F,MLP(8),52,0.6475,0.66375,0.64875,0.67125,0.67,0.654375
F,MLP(16),52,0.728125,0.734375,0.723125,0.704375,0.719375,0.7025
F,MLP(32),52,0.75,0.741875,0.74625,0.739375,0.7475,0.730625
F,MLP(16x2),52,0.755,0.750625,0.744375,0.73125,0.75875,0.72125
F,MLP(32x2),52,0.78375,0.779375,0.770625,0.781875,0.781875,0.745
F,MLP(8),53,0.66125,0.69,0.674375,0.691875,0.68875,0.645625
F,MLP(16),53,0.7075,0.73,0.7175,0.719375,0.715,0.6975
F,MLP(32),53,0.738125,0.73,0.735625,0.73625,0.72625,0.72875
F,MLP(16x2),53,0.75125,0.759375,0.721875,0.74375,0.76875,0.7175
F,MLP(32x2),53,0.77375,0.78,0.763125,0.760625,0.76875,0.738125
F,MLP(8),54,0.65625,0.676875,0.693125,0.703125,0.670625,0.661875
F,MLP(16),54,0.71375,0.73,0.72,0.72125,0.71875,0.710625
F,MLP(32),54,0.739375,0.749375,0.723125,0.734375,0.7325,0.7225
F,MLP(16x2),54,0.7325,0.75,0.75125,0.738125,0.735,0.72
F,MLP(32x2),54,0.765,0.768125,0.773125,0.764375,0.765,0.734375
F,MLP(8),55,0.714375,0.69375,0.653125,0.66375,0.693125,0.66375
F,MLP(16),55,0.74875,0.749375,0.735,0.733125,0.750625,0.711875
F,MLP(32),55,0.7625,0.754375,0.7475,0.755625,0.748125,0.73375
F,MLP(16x2),55,0.758125,0.750625,0.74375,0.731875,0.769375,0.75375
F,MLP(32x2),55,0.78625,0.78875,0.79,0.765625,0.77375,0.765625
F,MLP(8),56,0.645625,0.6775,0.679375,0.673125,0.6475,0.64625
F,MLP(16),56,0.725625,0.745,0.709375,0.73625,0.70875,0.70375
F,MLP(32),56,0.72875,0.728125,0.7325,0.73,0.723125,0.7175
F,MLP(16x2),56,0.733125,0.745,0.7425,0.729375,0.74375,0.723125
F,MLP(32x2),56,0.755,0.755625,0.75,0.758125,0.756875,0.75
F,MLP(8),57,0.655,0.693125,0.675,0.62875,0.64625,0.558125
F,MLP(16),57,0.71875,0.699375,0.72375,0.710625,0.72375,0.70625
F,MLP(32),57,0.735,0.72625,0.73125,0.719375,0.74,0.704375
F,MLP(16x2),57,0.7225,0.74125,0.741875,0.760625,0.75,0.705625
F,MLP(32x2),57,0.77375,0.76875,0.780625,0.78,0.748125,0.75
F,MLP(8),58,0.674375,0.7025,0.681875,0.64625,0.674375,0.620625
F,MLP(16),58,0.724375,0.723125,0.724375,0.715625,0.713125,0.7125
F,MLP(32),58,0.743125,0.739375,0.75875,0.74375,0.728125,0.719375
F,MLP(16x2),58,0.7575,0.740625,0.735,0.745625,0.738125,0.729375
F,MLP(32x2),58,0.774375,0.78,0.788125,0.77875,0.780625,0.768125
F,MLP(8),59,0.63875,0.6675,0.67375,0.670625,0.6575,0.645625
F,MLP(16),59,0.711875,0.71875,0.711875,0.706875,0.703125,0.68125
F,MLP(32),59,0.734375,0.7175,0.733125,0.725,0.723125,0.713125
F,MLP(16x2),59,0.713125,0.733125,0.740625,0.719375,0.731875,0.715625
F,MLP(32x2),59,0.75125,0.76125,0.77375,0.746875,0.750625,0.729375
F,MLP(8),60,0.636875,0.653125,0.698125,0.699375,0.665625,0.6225
F,MLP(16),60,0.71375,0.731875,0.7325,0.69125,0.711875,0.68875
F,MLP(32),60,0.73625,0.73625,0.739375,0.7375,0.726875,0.70625
F,MLP(16x2),60,0.725,0.750625,0.725625,0.73,0.74375,0.71875
F,MLP(32x2),60,0.780625,0.76625,0.746875,0.77,0.758125,0.728125
F,MLP(8),61,0.674375,0.70125,0.671875,0.675,0.705,0.584375
F,MLP(16),61,0.74,0.749375,0.73375,0.734375,0.744375,0.71875
F,MLP(32),61,0.751875,0.75375,0.749375,0.7475,0.750625,0.733125
F,MLP(16x2),61,0.740625,0.75125,0.75875,0.755625,0.748125,0.72125
F,MLP(32x2),61,0.76375,0.755,0.770625,0.783125,0.776875,0.759375
